seed,arm,update_index,committed_candidate_hash,committed_target,candidate_stage,common_safe_passed,target_nonregression_passed,team_vote_nonregression_passed,target_or_vote_progress_passed,terminal_invalid_nonregression_passed,train_target_gain,train_vote_gain_count,train_vote_loss_count,train_vote_net_gain,train_pivotal_loss_count,train_unique_loss_count,train_coverage_loss_count,train_soft_utility_delta,assigned_residual_repair_count,validation_gain_count,validation_loss_count,validation_net_delta,validation_outcome_class,validation_gain_bearing,validation_collateral_loss_bearing,feasible_candidate_count,branch_winner_count,zero_train_vote_loss_feasible_count,minimum_train_vote_loss_in_pool,selected_train_vote_loss_is_pool_minimum,strictly_lower_vote_loss_feasible_count,current_ranking_verified,train_vote_loss_positive,train_pivotal_loss_positive,train_unique_loss_positive,train_coverage_loss_positive,train_vote_gain_and_loss_cooccur,train_soft_utility_negative,train_target_only_progress,generic_revision_stage,assigned_residual_repair_positive
59,W1_TOP2,0,6181f3aaf41b7ace5aac9a89359b07e00605473637d55543081503e911b1cf77,4,loss_blind_generic_revision,True,True,True,True,True,9,0,0,0,0,0,0,0.006226532855250807,3,0,0,0,neutral,False,False,4,1,4,0,True,0,True,False,False,False,False,False,False,True,True,True
59,W1_TOP2,1,2ae723adaf9ebf654c14b7c74fbb52dda76273ef72fe7e8929acde6ddb87e688,2,m20_source,True,True,True,True,True,4,0,0,0,0,0,0,0.016081682580051077,3,0,0,0,neutral,False,False,3,2,3,0,True,0,True,False,False,False,False,False,False,True,False,True
59,HYBRID_BASE,1,c2a4368552689850a78da5e20d667768b3ba94f9a187c1ff2bd6d34fa54112bc,2,m20_source,True,True,True,True,True,1,0,0,0,0,0,0,0.00125701106196748,1,0,0,0,neutral,False,False,2,1,2,0,True,0,True,False,False,False,False,False,False,True,False,True
59,HYBRID_BASE,2,9b54bc4a79f40aca6451e359be5ad843997f90d405af7556431ed29af14872d1,3,loss_blind_generic_revision,True,True,True,True,True,7,0,0,0,0,0,0,0.009879627163984352,0,0,0,0,neutral,False,False,4,1,4,0,True,0,True,False,False,False,False,False,False,True,True,False
59,HYBRID_BASE,3,2b49202d10dfb6e653170e3225b5d8f8abf64e48974efef6e191717961f08e2e,0,loss_blind_generic_revision,True,True,True,True,True,6,4,2,2,1,0,0,0.032849756170988884,1,2,3,-1,negative,True,True,4,1,0,2,True,0,True,True,True,False,False,True,False,False,True,True
59,HYBRID_BASE,4,ebe43211a24197604fbf9128b02f8299fe0603138a1d5933b9fa8c5bd4816b2f,2,m20_source,True,True,True,True,True,2,0,0,0,0,0,0,0.006577428654342868,0,0,0,0,neutral,False,False,1,1,1,0,True,0,True,False,False,False,False,False,False,True,False,False
59,HYBRID_BASE,5,0820779cb2fc313b17d795f35b3bf56f699d70e01b16c1536b8c2079f764c497,0,loss_blind_generic_revision,True,True,True,True,True,0,1,0,1,0,2,2,-0.003023742173123453,0,2,0,2,positive,True,False,2,1,2,0,True,0,True,False,False,True,True,False,True,False,True,False
60,W1_TOP2,1,598cb6576fa931889bf462b239b3f3b82f894d325d8a40a6c91746ade1370424,3,loss_blind_generic_revision,True,True,True,True,True,7,0,0,0,0,0,0,0.004872604891525227,3,0,0,0,neutral,False,False,2,1,2,0,True,0,True,False,False,False,False,False,False,True,True,True
60,W1_TOP2,3,36dd40d0f56bf17300ae0457a5cf3a949e9c7a34beb1188a8eda187996d9435f,4,loss_blind_generic_revision,True,True,True,True,True,6,0,0,0,0,0,0,0.018021227599434392,2,0,0,0,neutral,False,False,2,1,2,0,True,0,True,False,False,False,False,False,False,True,True,True
60,HYBRID_BASE,1,3cdcfd6d18ba2b8c4bae0c7aa0bb4a2b4fbcf89dd9148516fc355173fd8470ce,3,loss_blind_generic_revision,True,True,True,True,True,6,0,0,0,0,0,0,0.004240259915824337,2,0,0,0,neutral,False,False,2,1,2,0,True,0,True,False,False,False,False,False,False,True,True,True
