run_name,question_hash,is_degraded,bad_agent_count,orig_is_degraded,orig_bad_agent_count,family_div,major_div,homogeneity,all_same,vote_correct
P4_same_definition_qwen25_7b_seed42,de566530eac3,1,4,1,4,0.2833462224894365,0.0,0.8828718338977236,0,1.0
P4_same_definition_qwen25_7b_seed42,237e5cab91d3,0,0,0,0,0.792190728862247,0.9248187049730301,0.4669480133509715,0,0.0
P4_same_definition_qwen25_7b_seed42,bab7e93c939f,1,1,1,3,0.4218656143250428,0.0,0.8056605998750397,0,1.0
P4_same_definition_qwen25_7b_seed42,9fa057383e15,1,4,1,4,0.38680219357520185,0.0,0.7266174388514223,0,0.0
P4_same_definition_qwen25_7b_seed42,72ec25d9df6f,0,0,1,2,0.3776608994682485,2.220446049250313e-16,0.8728986452254752,0,1.0
P4_same_definition_qwen25_7b_seed42,daaf2e0aa6f2,0,0,0,0,0.7128648897707502,0.7931675117617045,0.40162202331374414,0,1.0
P4_same_definition_qwen25_7b_seed42,b97dc80f265a,1,1,1,1,0.381649514770862,0.0,0.7950386764074506,0,0.0
P4_same_definition_qwen25_7b_seed42,11f7bfe474b4,0,0,1,1,0.5428177550173492,0.8267463724926178,0.604551108395642,0,0.0
P4_same_definition_qwen25_7b_seed42,f4f8b1d07bd4,0,0,1,1,0.0,0.0,1.0,1,1.0
P4_same_definition_qwen25_7b_seed42,6e81d90019ee,0,0,0,0,0.0,0.0,1.0,1,1.0
P4_same_definition_qwen25_7b_seed42,d1ea00cab364,0,0,1,1,0.4441899640194074,2.220446049250313e-16,0.8594936708860759,0,0.0
P4_same_definition_qwen25_7b_seed42,aea67609c697,0,0,0,0,0.5990140453993107,0.6926784243774676,0.7689655172413794,0,0.0
P4_same_definition_qwen25_7b_seed42,72d800127956,0,0,1,1,0.2646804326436821,0.0,0.9737948294722724,0,1.0
P4_same_definition_qwen25_7b_seed42,896e76701411,0,0,1,1,0.716375529930808,0.9814538950336537,0.576019505028722,0,1.0
P4_same_definition_qwen25_7b_seed42,70abc09af563,1,1,1,1,0.49479376061102787,0.0,0.8925228542407663,0,0.0
P4_same_definition_qwen25_7b_seed42,3799a0c4c40e,1,2,1,2,0.7434578467565827,0.8554508105601307,0.4564998423184802,0,0.0
P4_same_definition_qwen25_7b_seed42,0d434c2f3f4e,0,0,1,1,0.8582309400005141,0.8267463724926178,0.42753115327032704,0,1.0
P4_same_definition_qwen25_7b_seed42,94c6b3e7fb22,0,0,0,0,0.722800107332597,0.8554508105601307,0.5093876558782646,0,0.0
P4_same_definition_qwen25_7b_seed42,a5f0d2465748,0,0,1,1,0.6513042328010552,0.5842388116428562,0.5785121850760565,0,1.0
