blinded_id,bucket,question_hash,run_dir,run_name,team_family_diversity,team_family_homogeneity_rate,team_major_family_diversity,trace_token_cosine_diversity,trace_token_cosine_similarity,vote_correct
P7G0001,high_text_low_strategy,1f3467b893e8,prove_experiments\runs\P4_same_elimination_qwen25_7b_seed42,P4_same_elimination_qwen25_7b_seed42,0.2833462224894365,0.8250175801852049,0.0,0.5045530242453142,0.49544697575468577,1.0
P7G0002,low_strategy,1e89b7735a6e,prove_experiments\runs\P4_same_elimination_gpt4omini_seed42,P4_same_elimination_gpt4omini_seed42,0.36096404744368116,0.6,0.7219280948873623,0.02595522627188207,0.9740447737281179,1.0
P7G0003,low_text_high_strategy,02c5f132bd5c,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,0.7454771510113252,0.4492296116054127,0.9248187049730301,0.09119457118780772,0.9088054288121923,1.0
P7G0004,high_text_low_strategy,1e89b7735a6e,prove_experiments\runs\P4_mixed_strategy_qwen25_7b_seed42,P4_mixed_strategy_qwen25_7b_seed42,0.36096404744368116,0.8,0.0,0.6595075052803561,0.340492494719644,1.0
P7G0005,high_text_low_strategy,e668c65c8a2a,prove_experiments\runs\P4_mixed_strategy_qwen25_7b_seed42,P4_mixed_strategy_qwen25_7b_seed42,0.2833462224894365,0.8250175801852049,0.0,0.38398718461949144,0.6160128153805086,1.0
P7G0006,low_text_high_strategy,11f7bfe474b4,prove_experiments\runs\P4_mixed_strategy_gemini_flash_lite_seed42,P4_mixed_strategy_gemini_flash_lite_seed42,0.6408554798501023,0.5768336837832027,0.7219280948873625,0.06874125657716124,0.9312587434228388,1.0
P7G0007,low_text_high_strategy,20896e21f6d8,prove_experiments\runs\P4_same_elimination_gpt4omini_seed42,P4_same_elimination_gpt4omini_seed42,0.6448002482513866,0.5829113924050633,0.7219280948873625,0.0859558729080121,0.9140441270919879,1.0
P7G0008,low_strategy,f4888ae525b1,prove_experiments\runs\P4_same_elimination_gemini_flash_lite_seed42,P4_same_elimination_gemini_flash_lite_seed42,0.20485054535735253,0.9680986269406266,0.0,0.06445949146491636,0.9355405085350836,1.0
P7G0009,low_text_high_strategy,e83a88d607f5,prove_experiments\runs\P4_same_elimination_gpt4omini_seed42,P4_same_elimination_gpt4omini_seed42,0.6883129304069695,0.529746835443038,0.7219280948873626,0.08671898344645379,0.9132810165535462,0.0
P7G0010,low_text_high_strategy,feb65f13f8e6,prove_experiments\runs\P4_same_elimination_gemini_flash_lite_seed42,P4_same_elimination_gemini_flash_lite_seed42,0.7040244361674404,0.6260288567540707,0.9814538950336537,0.05039720607723108,0.9496027939227689,1.0
P7G0011,high_text_low_strategy,b52740641844,prove_experiments\runs\P4_same_elimination_qwen25_7b_seed42,P4_same_elimination_qwen25_7b_seed42,0.2646804326436821,0.9737948294722724,0.0,0.735769229340629,0.2642307706593709,0.0
