case_id,arm,rejected_plan_witness,candidate_hash,candidate_stage,candidate_valid,common_safe_feasible,train_target_gain,train_vote_gain,train_vote_loss,train_vote_net,zero_loss_feasible,would_commit
seed59_blocked_u0_t3,canonical_control,False,ce5a33d383c68c23a42696babe8d0ef45f80678947b15ad9fd7888395e7ea86d,source,True,False,-3,0,0,0,False,False
seed59_blocked_u0_t3,canonical_control,False,6c44ba6d9429d4c83ebbfda9aaa751ecc71700c90702a9bb958a591d5b2d0d2d,source,True,False,-1,0,0,0,False,False
seed59_blocked_u0_t3,canonical_control,False,bded60021a2edf9146e77f60f20ca9c5a04ff79022ec4841443607859cc00ead,revision,True,True,2,0,0,0,True,True
seed59_blocked_u0_t3,canonical_control,False,6d9dd38867ecb2259e652dbed2a0a04e663c2b6d3b62c5298ca600db97f8757c,revision,True,False,-9,0,0,0,False,False
seed59_blocked_u0_t3,shadow_raw,False,ce5a33d383c68c23a42696babe8d0ef45f80678947b15ad9fd7888395e7ea86d,source,True,False,-3,0,0,0,False,False
seed59_blocked_u0_t3,shadow_raw,False,6c44ba6d9429d4c83ebbfda9aaa751ecc71700c90702a9bb958a591d5b2d0d2d,source,True,False,-1,0,0,0,False,False
seed59_blocked_u0_t3,shadow_raw,False,bded60021a2edf9146e77f60f20ca9c5a04ff79022ec4841443607859cc00ead,revision,True,True,2,0,0,0,True,True
seed59_blocked_u0_t3,shadow_raw,False,6d9dd38867ecb2259e652dbed2a0a04e663c2b6d3b62c5298ca600db97f8757c,revision,True,False,-9,0,0,0,False,False
seed59_passed_u1_t2,canonical_control,False,9e1ba65f08bd1eb343de20a392036ebe367acfe42891d11a8f21f4529873526c,source,True,False,-11,0,0,0,False,False
seed59_passed_u1_t2,canonical_control,False,ce7c6e64c86caa72168d29b284b2c1825e201e6b0502d27a0a2297b821784dbe,source,True,False,-11,0,0,0,False,False
seed59_passed_u1_t2,canonical_control,False,ca831472959e6f894fd960db6bbe33ff302aaa6e8f53f7c518a947a2d98eb604,revision,True,False,-11,0,0,0,False,False
seed59_passed_u1_t2,canonical_control,False,57e78c0c1d1c99c7158819a83205050dd903521dd62f3a2928121e0ad11a43d8,revision,True,False,-10,0,0,0,False,False
seed59_passed_u1_t2,shadow_raw,False,9e1ba65f08bd1eb343de20a392036ebe367acfe42891d11a8f21f4529873526c,source,True,False,-11,0,0,0,False,False
seed59_passed_u1_t2,shadow_raw,False,ce7c6e64c86caa72168d29b284b2c1825e201e6b0502d27a0a2297b821784dbe,source,True,False,-11,0,0,0,False,False
seed59_passed_u1_t2,shadow_raw,False,ca831472959e6f894fd960db6bbe33ff302aaa6e8f53f7c518a947a2d98eb604,revision,True,False,-11,0,0,0,False,False
seed59_passed_u1_t2,shadow_raw,False,57e78c0c1d1c99c7158819a83205050dd903521dd62f3a2928121e0ad11a43d8,revision,True,False,-10,0,0,0,False,False
seed60_blocked_u0_t0,shadow_raw,True,c27898752994cba797eb23048492507588ef0e51e785013463a121d85b2785f8,source,True,False,-3,0,0,0,False,False
seed60_blocked_u0_t0,shadow_raw,True,ce9792398e8c6ff35531cf54ecd83e061ed6e86f4a07d8bfcbc9873ee215f791,source,True,False,-3,0,0,0,False,False
