run_root,task,setting,seed,distance_bin,candidate_count,fraction_of_all_candidates,guard_feasible_rate,pareto_feasible_rate,pareto_retained_rate,active_top1_rate,vote_gain_rate_probability,accuracy_regression_probability,mean_vote_delta,mean_accuracy_delta,mean_vote_margin_delta,mean_pivotal_rescue_rate,mean_pivotal_loss_rate,mean_shared_error_net_gain,mean_behavior_transition_l1
runs_disambiguation_v7_formal_3seed_0d6093e,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,"[0.00, 0.20)",16,0.5,0.5625,0.75,0.5625,0.1875,0.0625,0.1875,-0.0026041666666666713,0.05208333333333333,0.020833333333333343,0.0026041666666666665,0.005208333333333333,0.07421875,0.79890625
runs_disambiguation_v7_formal_3seed_0d6093e,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,"[0.20, 0.35)",7,0.21875,0.8571428571428571,1.0,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.0,0.005952380952380947,0.05357142857142857,0.02142857142857143,0.005952380952380952,0.0,0.09672619047619048,0.7586974789915966
runs_disambiguation_v7_formal_3seed_0d6093e,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,"[0.35, 0.45)",5,0.15625,0.4,0.4,0.4,0.2,0.0,0.6,0.0,-0.008333333333333337,-0.0033333333333333257,0.0,0.0,-0.024999999999999998,0.5676923076923077
runs_disambiguation_v7_formal_3seed_0d6093e,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,"[0.45, 0.60)",1,0.03125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.20833333333333331,0.08333333333333331,0.0,0.0,0.2916666666666667,0.28125
runs_disambiguation_v7_formal_3seed_0d6093e,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,"[0.60, 1.00]",3,0.09375,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,-0.027777777777777773,-0.01111111111111114,0.0,0.0,-0.03819444444444444,0.6460227272727272
runs_vote_v7_strict_pilot_0d6093e,disambiguation_qa,shared_vote_error_pareto_tcs,42,"[0.00, 0.20)",53,0.6463414634146342,0.20754716981132076,0.3018867924528302,0.20754716981132076,0.11320754716981132,0.16981132075471697,0.5283018867924528,-0.002358490566037741,-0.01886792452830189,-0.00786163522012579,0.013364779874213835,0.015723270440251572,-0.03164308176100629,1.7724417301775792
runs_vote_v7_strict_pilot_0d6093e,disambiguation_qa,shared_vote_error_pareto_tcs,42,"[0.20, 0.35)",12,0.14634146341463414,0.6666666666666666,0.75,0.6666666666666666,0.5,0.4166666666666667,0.16666666666666666,0.010416666666666666,0.04166666666666666,0.017361111111111115,0.020833333333333332,0.010416666666666666,0.07465277777777778,2.2978670634920633
runs_vote_v7_strict_pilot_0d6093e,disambiguation_qa,shared_vote_error_pareto_tcs,42,"[0.35, 0.45)",11,0.13414634146341464,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.45454545454545453,-0.015151515151515159,7.569702440626067e-18,-0.0007575757575757562,0.007575757575757575,0.022727272727272724,-0.0890151515151515,1.6694285126638067
runs_vote_v7_strict_pilot_0d6093e,disambiguation_qa,shared_vote_error_pareto_tcs,42,"[0.45, 0.60)",5,0.06097560975609756,0.8,0.8,0.8,0.4,0.2,0.2,0.008333333333333337,0.05833333333333334,0.023333333333333345,0.008333333333333333,0.0,0.09583333333333334,0.7490336134453781
runs_vote_v7_strict_pilot_0d6093e,disambiguation_qa,shared_vote_error_pareto_tcs,42,"[0.60, 1.00]",1,0.012195121951219513,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015624999999999997,0.15999999999999998
