run_root,run_dir,task,setting,seed,agent_id,update_attempt_count,active_update_count,active_update_rate,initial_prompt_hash,final_active_prompt_hash,unique_active_prompt_count,mean_active_change_ratio,median_active_change_ratio,p90_active_change_ratio,max_active_change_ratio,large_active_update_count,large_active_update_rate,final_direct_distance_from_initial,active_cumulative_path_length,path_to_direct_ratio,unknown_active_step_distance_count,mean_active_vote_delta
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,0,3,3,1.0,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,4c2e972a1975abb04194334abdb63fab0c0afd7c3a9d8f1969bfd038c9bbe5aa,4,0.34734122457125444,0.34734122457125444,0.48662400112192583,0.5214446952595937,1,0.5,0.5303776683087028,,,1,
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,8,5,0.625,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,ad1a0d0d282f65ebfe718ed87415c4daccb049464e570f3de244e53f0ae3ed79,6,0.22291761813544744,0.22580645161290325,0.32202553506445447,0.3460803059273423,0,0.0,,,,2,
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,2,4,3,0.75,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,6208caa8ae3ffff44abbadb346176f7e349301a481394e2c569eaf60f00181d5,4,0.25971189274884654,0.20190023752969122,0.34629078333223506,0.38238841978287097,0,0.0,0.4626391096979332,0.7791356782465396,1.684111139577572,0,
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,3,3,2,0.6666666666666666,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,471979f3d4e0b1acfb359bede58c5871c065caf8cd66a3b8c816326c70d38c8c,3,0.2859555886808655,0.2859555886808655,0.3841984170062461,0.4087591240875912,0,0.0,0.6776978417266187,0.571911177361731,0.8439029050242103,0,
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,4,6,4,0.6666666666666666,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,614d57fcbb201f045f43971c26e5939a410d9b6547400a071da5072777934af3,5,0.2837903141086249,0.2837903141086249,0.3795650803655846,0.4035087719298246,0,0.0,0.4855403348554034,,,2,
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed43,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,43,0,4,3,0.75,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,0299b46b73efcd7e5b1072e1ac00c1e5a24b2bbdb094d1bf9a528c7aeea777e9,4,0.21443661971830985,0.21443661971830985,0.22598591549295777,0.22887323943661975,0,0.0,0.432937181663837,,,1,
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed43,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,43,1,7,6,0.8571428571428571,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b96535640ab7f60e730f475534626e779626d6963bdf8f6a5b5541f78fa03631,7,0.4726260952353345,0.5133979687430297,0.5797607455835304,0.6021699819168174,3,0.75,0.5179340028694405,,,2,
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed43,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,43,2,4,2,0.5,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,1bd7f7651845c3a312e6a218efdba70676921e21a4be6bc33724ddf92eb4a6bb,3,0.19865067466266867,0.19865067466266867,0.26041979010494753,0.27586206896551724,0,0.0,0.38715596330275226,0.39730134932533734,1.0262049070251604,0,
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed43,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,43,3,4,2,0.5,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,ae0cea5c49e46b61c6475adb129d3e25d33db2c90bffbfc1928a5ea0cf23ffb3,3,0.17014228304550888,0.17014228304550888,0.21467361789942438,0.22580645161290325,0,0.0,,0.34028456609101776,,0,
runs_vote_v7_strict_pilot_0d6093e,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed43,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,43,4,5,2,0.4,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,fb7041c490529c4364bdc2255b13008bb05ff173dc9f930184cdebe1a3c7c1e5,3,0.16708204230095647,0.16708204230095647,0.18726256230634514,0.1923076923076923,0,0.0,0.323943661971831,0.33416408460191294,1.0315500002928617,0,
