seed,update_index,target_agent_id,variant,question_hash,item_role,tier
48,0,3,C0_CURRENT_V15,0e50c25afc8f7c5b8cfc77284464df0440b2d65542881bbae652c8975cfb5894,historical_context_unknown_role,not_separable
48,0,3,C0_CURRENT_V15,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,historical_context_unknown_role,not_separable
48,0,3,C1_BOUNDARY_PROPAGATION,0e50c25afc8f7c5b8cfc77284464df0440b2d65542881bbae652c8975cfb5894,repair,R4_OTHER_ASSIGNED
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,0e50c25afc8f7c5b8cfc77284464df0440b2d65542881bbae652c8975cfb5894,repair,R4_OTHER_ASSIGNED
48,0,3,C3_COALITION_AWARE_PRESERVATION,0e50c25afc8f7c5b8cfc77284464df0440b2d65542881bbae652c8975cfb5894,repair,R4_OTHER_ASSIGNED
48,0,3,C1_BOUNDARY_PROPAGATION,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,repair,R4_OTHER_ASSIGNED
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,repair,R4_OTHER_ASSIGNED
48,0,3,C3_COALITION_AWARE_PRESERVATION,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,repair,R4_OTHER_ASSIGNED
48,0,3,C1_BOUNDARY_PROPAGATION,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,repair,R4_OTHER_ASSIGNED
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,repair,R4_OTHER_ASSIGNED
48,0,3,C3_COALITION_AWARE_PRESERVATION,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,repair,R4_OTHER_ASSIGNED
48,0,3,C1_BOUNDARY_PROPAGATION,c68b63186b95718140cb1dd3286d906e8b02b54173c26260c15c1ae8cad5eeb4,repair,R4_OTHER_ASSIGNED
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,c68b63186b95718140cb1dd3286d906e8b02b54173c26260c15c1ae8cad5eeb4,repair,R4_OTHER_ASSIGNED
48,0,3,C3_COALITION_AWARE_PRESERVATION,c68b63186b95718140cb1dd3286d906e8b02b54173c26260c15c1ae8cad5eeb4,repair,R4_OTHER_ASSIGNED
48,0,3,C1_BOUNDARY_PROPAGATION,e39c7bfc2d60a8ac6ae2571f14cc7b9c6092369df29244754b49bd6b186692b6,repair,R4_OTHER_ASSIGNED
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,e39c7bfc2d60a8ac6ae2571f14cc7b9c6092369df29244754b49bd6b186692b6,repair,R4_OTHER_ASSIGNED
48,0,3,C3_COALITION_AWARE_PRESERVATION,e39c7bfc2d60a8ac6ae2571f14cc7b9c6092369df29244754b49bd6b186692b6,repair,R4_OTHER_ASSIGNED
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,preservation,P2_COALITION_SUPPORT
48,0,3,C3_COALITION_AWARE_PRESERVATION,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,preservation,P2_COALITION_SUPPORT
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,02c4fb68e34c1a4672fe1f08eae762250b21e853a88c7d12230f791a1e60fd18,preservation,P2_COALITION_SUPPORT
48,0,3,C3_COALITION_AWARE_PRESERVATION,02c4fb68e34c1a4672fe1f08eae762250b21e853a88c7d12230f791a1e60fd18,preservation,P2_COALITION_SUPPORT
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,13bc39c926081f04b8e256af08f7faaabead9f5bee36b7b3c007442fdfeec024,preservation,P2_COALITION_SUPPORT
48,0,3,C3_COALITION_AWARE_PRESERVATION,13bc39c926081f04b8e256af08f7faaabead9f5bee36b7b3c007442fdfeec024,preservation,P2_COALITION_SUPPORT
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,preservation,P2_COALITION_SUPPORT
48,0,3,C3_COALITION_AWARE_PRESERVATION,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,preservation,P2_COALITION_SUPPORT
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,preservation,P2_COALITION_SUPPORT
48,0,3,C3_COALITION_AWARE_PRESERVATION,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,preservation,P2_COALITION_SUPPORT
48,0,3,C2_BOUNDARY_PLUS_PRESERVATION,1cbc6671d2468407bec44d4fcea857c6ca8090fff77855b7099513074511f9f8,preservation,P2_COALITION_SUPPORT
48,0,3,C3_COALITION_AWARE_PRESERVATION,1cbc6671d2468407bec44d4fcea857c6ca8090fff77855b7099513074511f9f8,preservation,P2_COALITION_SUPPORT
48,0,1,C0_CURRENT_V15,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,historical_context_unknown_role,not_separable
48,0,1,C0_CURRENT_V15,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,historical_context_unknown_role,not_separable
48,0,1,C1_BOUNDARY_PROPAGATION,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,repair,R4_OTHER_ASSIGNED
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,repair,R4_OTHER_ASSIGNED
48,0,1,C3_COALITION_AWARE_PRESERVATION,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,repair,R4_OTHER_ASSIGNED
48,0,1,C1_BOUNDARY_PROPAGATION,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,repair,R4_OTHER_ASSIGNED
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,repair,R4_OTHER_ASSIGNED
48,0,1,C3_COALITION_AWARE_PRESERVATION,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,repair,R4_OTHER_ASSIGNED
48,0,1,C1_BOUNDARY_PROPAGATION,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,repair,R4_OTHER_ASSIGNED
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,repair,R4_OTHER_ASSIGNED
48,0,1,C3_COALITION_AWARE_PRESERVATION,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,repair,R4_OTHER_ASSIGNED
48,0,1,C1_BOUNDARY_PROPAGATION,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,repair,R4_OTHER_ASSIGNED
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,repair,R4_OTHER_ASSIGNED
48,0,1,C3_COALITION_AWARE_PRESERVATION,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,repair,R4_OTHER_ASSIGNED
48,0,1,C1_BOUNDARY_PROPAGATION,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,repair,R4_OTHER_ASSIGNED
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,repair,R4_OTHER_ASSIGNED
48,0,1,C3_COALITION_AWARE_PRESERVATION,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,repair,R4_OTHER_ASSIGNED
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,preservation,P2_COALITION_SUPPORT
48,0,1,C3_COALITION_AWARE_PRESERVATION,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,preservation,P2_COALITION_SUPPORT
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,02c4fb68e34c1a4672fe1f08eae762250b21e853a88c7d12230f791a1e60fd18,preservation,P2_COALITION_SUPPORT
48,0,1,C3_COALITION_AWARE_PRESERVATION,02c4fb68e34c1a4672fe1f08eae762250b21e853a88c7d12230f791a1e60fd18,preservation,P2_COALITION_SUPPORT
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,13bc39c926081f04b8e256af08f7faaabead9f5bee36b7b3c007442fdfeec024,preservation,P2_COALITION_SUPPORT
48,0,1,C3_COALITION_AWARE_PRESERVATION,13bc39c926081f04b8e256af08f7faaabead9f5bee36b7b3c007442fdfeec024,preservation,P2_COALITION_SUPPORT
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,preservation,P2_COALITION_SUPPORT
48,0,1,C3_COALITION_AWARE_PRESERVATION,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,preservation,P2_COALITION_SUPPORT
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,preservation,P2_COALITION_SUPPORT
48,0,1,C3_COALITION_AWARE_PRESERVATION,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,preservation,P2_COALITION_SUPPORT
48,0,1,C2_BOUNDARY_PLUS_PRESERVATION,1cbc6671d2468407bec44d4fcea857c6ca8090fff77855b7099513074511f9f8,preservation,P2_COALITION_SUPPORT
48,0,1,C3_COALITION_AWARE_PRESERVATION,1cbc6671d2468407bec44d4fcea857c6ca8090fff77855b7099513074511f9f8,preservation,P2_COALITION_SUPPORT
48,1,1,C0_CURRENT_V15,0e50c25afc8f7c5b8cfc77284464df0440b2d65542881bbae652c8975cfb5894,historical_context_unknown_role,not_separable
48,1,1,C0_CURRENT_V15,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,historical_context_unknown_role,not_separable
48,1,1,C1_BOUNDARY_PROPAGATION,0e50c25afc8f7c5b8cfc77284464df0440b2d65542881bbae652c8975cfb5894,repair,R4_OTHER_ASSIGNED
48,1,1,C2_BOUNDARY_PLUS_PRESERVATION,0e50c25afc8f7c5b8cfc77284464df0440b2d65542881bbae652c8975cfb5894,repair,R4_OTHER_ASSIGNED
48,1,1,C3_COALITION_AWARE_PRESERVATION,0e50c25afc8f7c5b8cfc77284464df0440b2d65542881bbae652c8975cfb5894,repair,R4_OTHER_ASSIGNED
48,1,1,C1_BOUNDARY_PROPAGATION,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,repair,R4_OTHER_ASSIGNED
48,1,1,C2_BOUNDARY_PLUS_PRESERVATION,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,repair,R4_OTHER_ASSIGNED
48,1,1,C3_COALITION_AWARE_PRESERVATION,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,repair,R4_OTHER_ASSIGNED
48,1,1,C1_BOUNDARY_PROPAGATION,8fbb9d3e55f5f596dcea484db6598491f03cf5e98f9e8e1081ac333d81df577e,repair,R4_OTHER_ASSIGNED
48,1,1,C2_BOUNDARY_PLUS_PRESERVATION,8fbb9d3e55f5f596dcea484db6598491f03cf5e98f9e8e1081ac333d81df577e,repair,R4_OTHER_ASSIGNED
48,1,1,C3_COALITION_AWARE_PRESERVATION,8fbb9d3e55f5f596dcea484db6598491f03cf5e98f9e8e1081ac333d81df577e,repair,R4_OTHER_ASSIGNED
