case_id,historical_status,arm,parent_hash,target_member,teacher_plan_count,teacher_schema_valid,hard_gate_pass_count,hard_gate_reject_count,semantic_critic_used,semantic_critic_pass_count,semantic_critic_reject_count,student_reached,strict_valid_candidates,common_safe_feasible_candidates,would_commit,api_calls,total_tokens
seed59_blocked_u0_t3,blocked,A_CANONICAL,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,True,0,0,True,0,2,False,0,0,False,4,8356
seed59_blocked_u0_t3,blocked,B_TEACHER_CLEAN,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,True,0,0,True,1,1,True,2,0,False,156,64209
seed59_blocked_u0_t3,blocked,C_NO_SEMANTIC_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,True,1,0,False,0,0,True,4,1,True,303,96074
seed59_blocked_u0_t3,blocked,D_ADVISORY_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,True,1,0,True,1,0,True,4,0,False,304,101673
seed59_passed_u1_t2,passed,A_CANONICAL,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,2,1,True,0,0,True,1,0,True,4,1,True,305,97546
seed59_passed_u1_t2,passed,B_TEACHER_CLEAN,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,2,1,True,0,0,True,1,0,True,4,2,True,305,99596
seed59_passed_u1_t2,passed,C_NO_SEMANTIC_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,2,1,True,1,0,False,0,0,True,4,3,True,303,97874
seed59_passed_u1_t2,passed,D_ADVISORY_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,2,1,True,1,0,True,1,0,True,4,4,True,304,94214
seed60_blocked_u0_t0,blocked,A_CANONICAL,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,2,True,0,0,True,0,2,False,0,0,False,4,8144
seed60_blocked_u0_t0,blocked,B_TEACHER_CLEAN,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,2,True,0,0,True,0,2,False,0,0,False,4,8374
seed60_blocked_u0_t0,blocked,C_NO_SEMANTIC_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,1,True,1,0,False,0,0,True,4,4,True,303,88966
seed60_blocked_u0_t0,blocked,D_ADVISORY_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,1,True,1,0,True,1,0,True,4,2,True,304,88346
seed60_passed_u1_t3,passed,A_CANONICAL,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,True,0,0,True,1,0,True,4,2,True,305,108941
seed60_passed_u1_t3,passed,B_TEACHER_CLEAN,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,True,0,0,True,0,2,False,0,0,False,4,8534
seed60_passed_u1_t3,passed,C_NO_SEMANTIC_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,True,1,0,False,0,0,True,2,0,False,152,58957
seed60_passed_u1_t3,passed,D_ADVISORY_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,True,1,0,True,1,0,True,4,3,True,304,112371
seed61_blocked_u0_t0,blocked,A_CANONICAL,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,2,True,0,0,True,0,2,False,0,0,False,4,8339
seed61_blocked_u0_t0,blocked,B_TEACHER_CLEAN,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,2,True,0,0,True,0,2,False,0,0,False,4,8605
seed61_blocked_u0_t0,blocked,C_NO_SEMANTIC_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,1,True,1,0,False,0,0,True,4,1,True,303,112639
seed61_blocked_u0_t0,blocked,D_ADVISORY_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,1,True,1,0,True,1,0,True,4,2,True,304,100254
seed61_passed_u1_t3,passed,A_CANONICAL,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,True,0,0,True,1,0,True,4,4,True,305,105061
seed61_passed_u1_t3,passed,B_TEACHER_CLEAN,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,True,0,0,True,0,2,False,0,0,False,4,8487
seed61_passed_u1_t3,passed,C_NO_SEMANTIC_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,True,1,0,False,0,0,True,4,4,True,303,96427
seed61_passed_u1_t3,passed,D_ADVISORY_CRITIC,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,True,1,0,True,1,0,True,4,4,True,304,102720
