sample_id,question,answer
44,"""Here comes a perfectly valid argument: To start with, no half-sister of Nelda is a close friend of Terrie or a cousin of Amanda. Now, it is false that Gretchen is a close friend of Terrie. Moreover, it is false that Gretchen is a cousin of Amanda. We may conclude: It is not the case that Gretchen is a half-sister of Nelda.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",invalid
98,"""Is Titanium oxide an ingredient of my washing power? Which chemicals does my perfume contain? It is really difficult to keep track of all chemicals one is regularly exposed to. The following argument seeks to clarify some such relations: Every ingredient of CUSTOM BLEND POWDER is an ingredient of Gold Dust or an ingredient of Parisian Chic. Whatever is an ingredient of Parisian Chic is not an ingredient of CUSTOM BLEND POWDER. In consequence, every ingredient of CUSTOM BLEND POWDER is an ingredient of Gold Dust.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",valid
184,"""Some football fans admire various clubs, others love only a single team. But who is a fan of whom precisely? The following argument pertains to this question: To begin with, every ex-fan of Villarreal CF is a supporter of Everton FC and a friend of SK Rapid Wien. Moreover, Kirk is not both: a supporter of Everton FC and a friend of SK Rapid Wien. So, necessarily, it is not the case that Kirk is an ex-fan of Villarreal CF.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",valid
123,"""Some football fans admire various clubs, others love only a single team. But who is a fan of whom precisely? The following argument pertains to this question: To start with, somebody is an ex-supporter of FC Basel 1893 and a devotee of AS Trenčín. Now, no ex-supporter of Paris Saint-Germain is a devotee of AS Trenčín. In consequence, not every ex-supporter of FC Basel 1893 is an ex-supporter of Paris Saint-Germain.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",valid
121,"""It is not always easy to see who is related to whom -- and in which ways. The following argument pertains to this question: Every cousin of Nichole is not an aunt of Susan or not an aunt of Zenaida. Every daughter of Wanda is a cousin of Nichole. We may conclude that no daughter of Wanda is an aunt of Susan or an aunt of Zenaida.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",invalid
167,"""Consumer research aims at understanding whether users of some products also tend to consume other ones, or not. The following argument seeks to clarify some such relations: Every regular user of South of France soap is not a rare consumer of Natural Bar soap or not a loyal buyer of Organix Hair shampoo. Every owner of a Caress soap is a regular user of South of France soap. It follows that everyone who is an owner of a Caress soap is also a rare consumer of Natural Bar soap and a loyal buyer of Organix Hair shampoo.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",invalid
9,"""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",invalid
176,"""Is Fred a fan of Liverpool? Are supporters of Real Madrid devotees of PSG? In European football, it is sometimes difficult to keep track of the mutual admiration and dislike. The following argument seeks to clarify some such relations: To begin with, every ex-fan of KKS Lech Poznań is not an opponent to FC Arouca or not an admirer of FC Dinamo Minsk. Moreover, everyone who is a follower of Tottenham Hotspur is an ex-fan of KKS Lech Poznań, too. It follows that no follower of Tottenham Hotspur is an admirer of FC Dinamo Minsk or an opponent to FC Arouca.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",invalid
197,"""Some football fans admire various clubs, others love only a single team. But who is a fan of whom precisely? The following argument pertains to this question: First premise: Being an expert of Aberdeen FC is sufficient for not being a follower of Club Atlético de Madrid. Second premise: Every expert of Aberdeen FC is not a fan of AZ Alkmaar or not a follower of Club Atlético de Madrid. Therefore, whoever is an expert of Aberdeen FC is not a fan of AZ Alkmaar.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",invalid
113,"""Consumer research aims at understanding whether users of some products also tend to consume other ones, or not. The following argument seeks to clarify some such relations: To start with, everyone who is neither an owner of a Eucalyptus soap nor an owner of a Kirk's soap is a regular user of Pureology shampoo or a regular consumer of CHI shampoo. Now, every regular user of Pureology shampoo is an owner of a Kirk's soap or an owner of a Eucalyptus soap. We may conclude: Whoever is none of this: an owner of a Eucalyptus soap or owner of a Kirk's soap, is a regular consumer of CHI shampoo.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",valid
