task_id,benchmark,method_id,setting,seed,dataset_format,split_protocol,leakage_warning,num_test_samples,vote_acc,majority_vote_acc,weighted_vote_acc,mean_individual_acc,best_individual_acc,oracle_acc,aggregation_gap,rescue_available_rate,correct_disagreement_rate,mean_useful_diversity,aggregation_mode,solver_calls,optimizer_calls,evaluator_calls,total_llm_calls,prompt_tokens,completion_tokens,total_tokens,estimated_cost,latency_seconds,run_dir
boolean_expressions,BBH,mad_shared_baseline,shared_baseline,42,mars,paper_compatible_reused_file,True,100,0.97,0.97,0.98,0.972,0.98,0.99,0.020000000000000018,0.02,0.04,0.05923747289180756,majority,500,0,0,500,61000,36224,97224,0.0,3112.96852850914,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\boolean_expressions\shared_baseline_seed42
boolean_expressions,BBH,mad_shared_guarded_beam,shared_guarded_beam,42,mars,paper_compatible_reused_file,True,100,0.99,0.99,0.99,0.976,0.98,0.99,0.0,0.0,0.05,0.0988174841205279,majority,4111,91,153,4355,1356955,661855,2018810,0.0,26138.409284114838,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\boolean_expressions\shared_guarded_beam_seed42
formal_fallacies,BBH,mad_shared_baseline,shared_baseline,42,mars,paper_compatible_reused_file,True,100,1.0,1.0,1.0,0.99,0.99,1.0,0.0,0.0,0.02,0.025569871902465815,majority,500,0,0,500,118690,169960,288650,0.0,6338.065731048584,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\formal_fallacies\shared_baseline_seed42
formal_fallacies,BBH,mad_shared_guarded_beam,shared_guarded_beam,42,mars,paper_compatible_reused_file,True,100,1.0,1.0,0.98,0.99,1.0,1.0,0.0,0.0,0.03,0.05571719388167063,majority,4205,91,157,4453,2250512,1507591,3758103,0.0,50857.399676561356,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\formal_fallacies\shared_guarded_beam_seed42
geometric_shapes,BBH,mad_shared_baseline,shared_baseline,42,mars,paper_compatible_reused_file,True,100,0.68,0.68,0.66,0.664,0.7,0.82,0.1399999999999999,0.14,0.33,0.0371764975587527,majority,500,0,0,500,123150,150581,273731,0.0,5472.80048418045,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\geometric_shapes\shared_baseline_seed42
geometric_shapes,BBH,mad_shared_guarded_beam,shared_guarded_beam,42,mars,paper_compatible_reused_file,True,100,0.75,0.75,0.73,0.718,0.76,0.86,0.10999999999999999,0.11,0.3,0.09796347763140995,majority,4332,91,166,4589,2419369,1700924,4120293,0.0,45669.55938911438,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\geometric_shapes\shared_guarded_beam_seed42
sports_understanding,BBH,mad_shared_baseline,shared_baseline,42,mars,paper_compatible_reused_file,True,100,0.83,0.83,0.84,0.834,0.86,0.89,0.06000000000000005,0.06,0.14,0.019820442418257395,majority,500,0,0,500,64335,43568,107903,0.0,2635.4572031497955,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\sports_understanding\shared_baseline_seed42
sports_understanding,BBH,mad_shared_guarded_beam,shared_guarded_beam,42,mars,paper_compatible_reused_file,True,100,0.82,0.82,0.83,0.824,0.83,0.91,0.09000000000000008,0.09,0.18,0.048450524191061654,majority,4254,91,155,4500,1726676,699636,2426312,0.0,22817.804937839508,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\sports_understanding\shared_guarded_beam_seed42
disambiguation_qa,BBH,mad_shared_baseline,shared_baseline,42,mars,paper_compatible_reused_file,True,100,0.45,0.45,0.45,0.446,0.46,0.53,0.08000000000000002,0.08,0.18,0.017970984935760496,majority,500,0,0,500,93730,63740,157470,0.0,3462.370328426361,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\disambiguation_qa\shared_baseline_seed42
disambiguation_qa,BBH,mad_shared_guarded_beam,shared_guarded_beam,42,mars,paper_compatible_reused_file,True,100,0.63,0.63,0.61,0.604,0.71,0.81,0.18000000000000005,0.18,0.45,0.04498052630821864,majority,4361,91,154,4606,2403061,971520,3374581,0.0,29860.546988248825,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\disambiguation_qa\shared_guarded_beam_seed42
ruin_names,BBH,mad_shared_baseline,shared_baseline,42,mars,paper_compatible_reused_file,True,100,0.81,0.81,0.8,0.808,0.84,0.89,0.07999999999999996,0.08,0.18,0.02051851644118627,majority,500,0,0,500,86470,102323,188793,0.0,4480.523864507675,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\ruin_names\shared_baseline_seed42
ruin_names,BBH,mad_shared_guarded_beam,shared_guarded_beam,42,mars,paper_compatible_reused_file,True,100,0.82,0.82,0.82,0.806,0.82,0.92,0.10000000000000009,0.1,0.26,0.046577599267164864,majority,4254,91,153,4498,2235385,1150010,3385395,0.0,32889.50243592262,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\ruin_names\shared_guarded_beam_seed42
