answer_format,baseline_only,benchmark,dataset_format,elapsed_sec,init_mode,returncode,reward_mode,run_dir,seed,setting,status,task_id,task_type
boolean,1,BBH,mars,47.57,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\boolean_expressions\shared_baseline_seed42,42,shared_baseline,ok,boolean_expressions,bbh
boolean,0,BBH,mars,3348.73,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\boolean_expressions\shared_guarded_beam_seed42,42,shared_guarded_beam,ok,boolean_expressions,bbh
valid_invalid,1,BBH,mars,45.35,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\formal_fallacies\shared_baseline_seed42,42,shared_baseline,ok,formal_fallacies,bbh
valid_invalid,0,BBH,mars,5232.49,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\formal_fallacies\shared_guarded_beam_seed42,42,shared_guarded_beam,ok,formal_fallacies,bbh
option_letter,1,BBH,mars,48.26,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\geometric_shapes\shared_baseline_seed42,42,shared_baseline,ok,geometric_shapes,bbh
option_letter,0,BBH,mars,5313.22,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\geometric_shapes\shared_guarded_beam_seed42,42,shared_guarded_beam,ok,geometric_shapes,bbh
yes_no,1,BBH,mars,41.61,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\sports_understanding\shared_baseline_seed42,42,shared_baseline,ok,sports_understanding,bbh
yes_no,0,BBH,mars,3087.32,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\sports_understanding\shared_guarded_beam_seed42,42,shared_guarded_beam,ok,sports_understanding,bbh
option_letter,1,BBH,mars,30.17,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\disambiguation_qa\shared_baseline_seed42,42,shared_baseline,ok,disambiguation_qa,bbh
option_letter,0,BBH,mars,3483.64,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\disambiguation_qa\shared_guarded_beam_seed42,42,shared_guarded_beam,ok,disambiguation_qa,bbh
option_letter,1,BBH,mars,35.16,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\ruin_names\shared_baseline_seed42,42,shared_baseline,ok,ruin_names,bbh
option_letter,0,BBH,mars,3612.03,shared,0,guarded_diversity,D:\myx\grade_one\experiments\multi_agent_diversity\runs_task_level_bbh_traincheck_x5\ruin_names\shared_guarded_beam_seed42,42,shared_guarded_beam,ok,ruin_names,bbh
